model,split,seed,test_auc,test_pr,secs
StereoGNN,random,0,0.9008031442241968,0.9527456658149012,131.3
StereoGNN,random,1,0.9031670084301663,0.9540359170541735,66.4
StereoGNN,random,2,0.8929977848880138,0.9496897245171649,46.2
StereoGNN,random,3,0.8935283687943262,0.9437266840802756,100.2
StereoGNN,random,4,0.8966666666666666,0.9599288082970874,33.2
StereoGNN,scaffold,0,0.8827705627705627,0.9449567290040128,93.9
StereoGNN,scaffold,1,0.8476749877630935,0.9631299171145254,86.4
StereoGNN,scaffold,2,0.8122254366227365,0.9292534577086484,39.1
StereoGNN,scaffold,3,0.8271002210759028,0.9380311067775196,41.3
StereoGNN,scaffold,4,0.8015926804473059,0.904112688489408,45.8
StereoGNN,cluster,0,0.8444041867954912,0.9185286378161314,56.7
StereoGNN,cluster,1,0.8536980231765507,0.9301460460660615,32.0
StereoGNN,cluster,2,0.7634527089072543,0.8644446618534789,32.0
StereoGNN,cluster,3,0.9239403337763993,0.963359809677351,32.8
StereoGNN,cluster,4,0.8956752345981233,0.9343542269084504,75.6
GCN,random,0,0.8447824105718843,0.9179319800827013,26.4
GCN,random,1,0.8728924584187743,0.9408400631840929,15.6
GCN,random,2,0.8793994585281811,0.9551811460554781,18.1
GCN,random,3,0.8788120567375887,0.9450567569456786,26.1
GCN,random,4,0.8575287356321839,0.9317657351359125,17.7
GCN,scaffold,0,0.7894805194805194,0.9015476165762076,6.5
GCN,scaffold,1,0.8050905531081742,0.9488693361316176,12.4
GCN,scaffold,2,0.8607628843887282,0.9492563687385048,10.2
GCN,scaffold,3,0.7652296732989438,0.9017651932405542,7.7
GCN,scaffold,4,0.7737772506494974,0.892367552589754,5.6
GCN,cluster,0,0.7654186795491144,0.852982704192103,7.3
GCN,cluster,1,0.8170160190865712,0.9121388345873348,16.8
GCN,cluster,2,0.7779614325068871,0.8849518600820936,16.7
GCN,cluster,3,0.8862058780091566,0.934270967283031,12.8
GCN,cluster,4,0.82297021623827,0.8144153369279847,10.0
GIN,random,0,0.8231373889268626,0.9283100311255613,7.3
GIN,random,1,0.8845693779904307,0.9490839361522883,13.8
GIN,random,2,0.8654319468373124,0.9321971274955658,12.7
GIN,random,3,0.8881501182033097,0.9582704642236425,15.6
GIN,random,4,0.8601724137931035,0.9271388744635632,14.8
GIN,scaffold,0,0.8650649350649351,0.9406553153014331,18.3
GIN,scaffold,1,0.7508565834557024,0.9303529716091711,14.4
GIN,scaffold,2,0.8484410157505625,0.9466245618673919,7.5
GIN,scaffold,3,0.7462539916482438,0.8951991499495084,5.9
GIN,scaffold,4,0.7552806958093302,0.8831892530366943,5.8
GIN,cluster,0,0.8056763285024154,0.8905622917126755,18.7
GIN,cluster,1,0.8482447171097478,0.9279740122829867,18.3
GIN,cluster,2,0.6991735537190084,0.8382763116353651,8.0
GIN,cluster,3,0.8181214000886131,0.8685606543629487,15.5
GIN,cluster,4,0.823296613627091,0.7936518557802152,6.7
ECFP+LogReg,random,0,0.8830599225336067,0.9421748601031192,0.4
ECFP+LogReg,random,1,0.9211380724538618,0.9666769349291671,0.0
ECFP+LogReg,random,2,0.9133029780950037,0.9701233129707874,0.0
ECFP+LogReg,random,3,0.9199468085106383,0.9707529097248546,0.0
ECFP+LogReg,random,4,0.908103448275862,0.9652939434196373,0.0
ECFP+LogReg,scaffold,0,0.8254112554112554,0.9409087050039633,0.0
ECFP+LogReg,scaffold,1,0.8023494860499266,0.9348663946086557,0.0
ECFP+LogReg,scaffold,2,0.8665488053144755,0.9530687727530504,0.0
ECFP+LogReg,scaffold,3,0.8236919675755342,0.9138373312416275,0.0
ECFP+LogReg,scaffold,4,0.7870213486953576,0.9091796392350004,0.0
ECFP+LogReg,cluster,0,0.8526972624798712,0.9363129873281831,0.0
ECFP+LogReg,cluster,1,0.8730828220858896,0.9342424911491969,0.0
ECFP+LogReg,cluster,2,0.7941230486685033,0.8986600525932016,0.0
ECFP+LogReg,cluster,3,0.8910796041943583,0.942230968173472,0.0
ECFP+LogReg,cluster,4,0.9486332109343126,0.9655173538097622,0.0
ECFP+RF,random,0,0.9068124857598542,0.9522894502512698,0.8
ECFP+RF,random,1,0.9342390066074276,0.9697034143710592,0.4
ECFP+RF,random,2,0.9272397243416195,0.9740880685792209,0.4
ECFP+RF,random,3,0.9288120567375886,0.9737620792387467,0.4
ECFP+RF,random,4,0.9309195402298852,0.9696204539877906,0.4
ECFP+RF,scaffold,0,0.8582251082251082,0.9437273599214431,0.5
ECFP+RF,scaffold,1,0.8506118453255016,0.9587781194676303,0.4
ECFP+RF,scaffold,2,0.9204435872709739,0.9731481778178995,0.5
ECFP+RF,scaffold,3,0.8875276344878409,0.954947628686845,0.4
ECFP+RF,scaffold,4,0.7970179600135548,0.9095402470425773,0.4
ECFP+RF,cluster,0,0.8471014492753622,0.934590248935074,0.5
ECFP+RF,cluster,1,0.8872273346966598,0.921884648687918,0.4
ECFP+RF,cluster,2,0.824058769513315,0.9180161540924553,0.5
ECFP+RF,cluster,3,0.9352385172057303,0.9707145680295455,0.5
ECFP+RF,cluster,4,0.9549979600163198,0.9697706005424469,0.5
